"File","Hardcoded","AppTheme","ThemeRefs","Total"
"lib\modules\accountant\recurring_journals\providers\recurring_journal_provider.dart","0","0","0","0"
"lib\modules\accountant\recurring_journals\repositories\recurring_journal_repository.dart","0","0","0","0"
"lib\modules\accountant\repositories\accountant_repository.dart","0","0","0","0"
"lib\modules\auth\controller\auth_controller.dart","0","0","0","0"
"lib\modules\auth\models\auth_state.dart","0","0","0","0"
"lib\modules\auth\models\organization_model.dart","0","0","0","0"
"lib\modules\auth\models\user_model.dart","0","0","0","0"
"lib\modules\auth\models\user_profile_model.dart","0","0","0","0"
"lib\modules\auth\presentation\auth_auth_forgot_password.dart","3","9","0","12"
"lib\modules\auth\presentation\auth_auth_login.dart","12","32","0","44"
"lib\modules\auth\presentation\auth_auth_reset_password.dart","6","12","0","18"
"lib\modules\auth\presentation\auth_organization_management_overview.dart","2","4","12","18"
"lib\modules\auth\presentation\auth_profile_overview.dart","13","2","8","23"
"lib\modules\auth\presentation\auth_user_management_overview.dart","0","0","4","4"
"lib\modules\auth\providers\user_provider.dart","0","0","0","0"
"lib\modules\auth\repositories\auth_repository.dart","0","0","0","0"
"lib\modules\auth\repositories\user_management_repository.dart","0","0","0","0"
"lib\modules\auth\services\permission_service.dart","0","0","0","0"
"lib\modules\auth\widgets\permission_wrapper.dart","0","0","0","0"
"lib\modules\auth\widgets\user_form_dialog.dart","0","0","0","0"
"lib\modules\auth\widgets\user_list_tile.dart","8","4","3","15"
"lib\modules\branches\controller\branch_controller.dart","0","0","0","0"
"lib\modules\branches\models\branch_model.dart","0","0","0","0"
"lib\modules\branches\presentation\settings_branches_branch_create.dart","0","0","0","0"
"lib\modules\branches\presentation\settings_branches_branch_list.dart","0","0","0","0"
"lib\modules\home\models\dashboard_metrics.dart","0","0","0","0"
"lib\modules\home\presentation\home_dashboard_overview.dart","3","55","0","58"
"lib\modules\home\presentation\widgets\chart_placeholder.dart","11","0","0","11"
"lib\modules\home\presentation\widgets\chart_widget.dart","0","0","0","0"
"lib\modules\home\presentation\widgets\metric_card.dart","0","0","3","3"
"lib\modules\home\providers\dashboard_provider.dart","0","0","0","0"
"lib\modules\inventory\adjustments\presentation\inventory_adjustments_create.dart","67","149","0","216"
"lib\modules\inventory\adjustments\presentation\inventory_adjustments_list.dart","43","49","0","92"
"lib\modules\inventory\adjustments\presentation\inventory_adjustments_overview_screen.dart","0","2","0","2"
"lib\modules\inventory\adjustments\presentation\widgets\inventory_adjustments_detail_panel.dart","82","105","0","187"
"lib\modules\inventory\adjustments\providers\inventory_adjustments_provider.dart","0","0","0","0"
"lib\modules\inventory\assemblies\presentation\inventory_assemblies_assembly_creation.dart","6","37","0","43"
"lib\modules\inventory\assemblies\presentation\inventory_assemblies_assembly_overview.dart","0","0","0","0"
"lib\modules\inventory\assemblies\presentation\widgets\add_batches_dialog.dart","4","22","0","26"
"lib\modules\inventory\models\inventory_adjustment_model.dart","0","0","0","0"
"lib\modules\inventory\models\stock_model.dart","0","0","0","0"
"lib\modules\inventory\models\stock_transfer_model.dart","0","0","0","0"
"lib\modules\inventory\models\warehouse_model.dart","0","0","0","0"
"lib\modules\inventory\move_orders\presentation\inventory_move_orders_create.dart","1","20","0","21"
"lib\modules\inventory\move_orders\presentation\inventory_move_orders_list.dart","1","2","0","3"
"lib\modules\inventory\packages\presentation\inventory_packages_create.dart","83","5","0","88"
"lib\modules\inventory\packages\presentation\inventory_packages_list.dart","36","0","0","36"
"lib\modules\inventory\picklists\data\inventory_picklist_repository_impl.dart","0","0","0","0"
"lib\modules\inventory\picklists\data\inventory_picklist_repository.dart","0","0","0","0"
"lib\modules\inventory\picklists\models\inventory_picklist_model.dart","0","0","0","0"
"lib\modules\inventory\picklists\presentation\inventory_picklists_create.dart","185","0","0","185"
"lib\modules\inventory\picklists\presentation\inventory_picklists_edit.dart","63","0","0","63"
"lib\modules\inventory\picklists\presentation\inventory_picklists_list.dart","89","185","0","274"
"lib\modules\inventory\picklists\presentation\inventory_picklists_update.dart","61","0","0","61"
"lib\modules\inventory\picklists\providers\inventory_picklists_provider.dart","0","0","0","0"
"lib\modules\inventory\providers\stock_provider.dart","0","0","0","0"
"lib\modules\inventory\providers\warehouse_provider.dart","0","0","0","0"
"lib\modules\inventory\repositories\adjustments_repository.dart","0","0","0","0"
"lib\modules\inventory\repositories\stock_repository.dart","0","0","0","0"
"lib\modules\inventory\repositories\transfers_repository.dart","0","0","0","0"
"lib\modules\inventory\repositories\warehouse_repository.dart","0","0","0","0"
"lib\modules\inventory\shipments\presentation\inventory_shipments_create.dart","44","5","0","49"
"lib\modules\inventory\shipments\presentation\inventory_shipments_list.dart","34","0","0","34"
"lib\modules\inventory\transfer_orders\presentation\inventory_transfer_orders_create.dart","0","134","1","135"
"lib\modules\inventory\transfer_orders\presentation\inventory_transfer_orders_list.dart","7","22","0","29"
"lib\modules\items\composite_items\models\composite_item_model.dart","0","0","0","0"
"lib\modules\items\composite_items\presentation\items_composite_filter_dropdown.dart","6","18","0","24"
"lib\modules\items\composite_items\presentation\items_composite_filters.dart","0","0","0","0"
"lib\modules\items\composite_items\presentation\items_composite_items_composite_creation.dart","34","96","0","130"
"lib\modules\items\composite_items\presentation\items_composite_items_composite_listview.dart","11","47","0","58"
"lib\modules\items\composite_items\providers\items_composite_item_provider.dart","0","0","0","0"
"lib\modules\items\item_groups\controller\itemgroup_controller.dart","0","0","0","0"
"lib\modules\items\item_groups\models\itemgroup_model.dart","0","0","0","0"
"lib\modules\items\item_groups\presentation\inventory_itemgroup_itemgroup_create.dart","0","0","0","0"
"lib\modules\items\item_groups\presentation\inventory_itemgroup_itemgroup_list.dart","0","0","0","0"
"lib\modules\items\items\controllers\items_controller.dart","0","0","0","0"
"lib\modules\items\items\controllers\items_state.dart","0","0","0","0"
"lib\modules\items\items\models\batch_model.dart","0","0","0","0"
"lib\modules\items\items\models\item_composition_model.dart","0","0","0","0"
"lib\modules\items\items\models\item_model.dart","0","0","0","0"
"lib\modules\items\items\models\items_stock_models.dart","0","0","0","0"
"lib\modules\items\items\models\tax_rate_model.dart","0","0","0","0"
"lib\modules\items\items\models\unit_model.dart","0","0","0","0"
"lib\modules\items\items\models\uqc_model.dart","0","0","0","0"
"lib\modules\items\items\presentation\items_item_create.dart","9","5","0","14"
"lib\modules\items\items\presentation\items_item_detail.dart","20","39","0","59"
"lib\modules\items\items\presentation\items_item_list.dart","0","9","0","9"
"lib\modules\items\items\presentation\sections\components\items_batch_dialogs.dart","2","19","0","21"
"lib\modules\items\items\presentation\sections\components\items_stock_find_panels.dart","17","53","0","70"
"lib\modules\items\items\presentation\sections\composition_section.dart","5","10","0","15"
"lib\modules\items\items\presentation\sections\default_tax_rates_section.dart","3","13","0","16"
"lib\modules\items\items\presentation\sections\formulation_extra_details.dart","26","44","0","70"
"lib\modules\items\items\presentation\sections\formulation_section.dart","12","26","0","38"
"lib\modules\items\items\presentation\sections\items_item_create_components.dart","1","6","0","7"
"lib\modules\items\items\presentation\sections\items_item_create_images.dart","17","16","0","33"
"lib\modules\items\items\presentation\sections\items_item_create_inventory.dart","15","30","0","45"
