"File","Hardcoded","AppTheme","ThemeRefs","Total"
"lib\modules\settings\users\providers\user_access_provider.dart","0","0","0","0"
"lib\shared\constants\currency_constants.dart","0","0","0","0"
"lib\shared\constants\gst_constants.dart","0","0","0","0"
"lib\shared\constants\phone_prefixes.dart","0","0","0","0"
"lib\shared\mixins\licence_validation_mixin.dart","0","0","0","0"
"lib\shared\models\account_node.dart","0","0","0","0"
"lib\shared\providers\lookup_providers.dart","0","0","0","0"
"lib\shared\responsive\breakpoints.dart","0","0","0","0"
"lib\shared\responsive\responsive_context.dart","0","0","0","0"
"lib\shared\responsive\responsive_dialog.dart","1","0","0","1"
"lib\shared\responsive\responsive_form.dart","0","0","0","0"
"lib\shared\responsive\responsive_layout.dart","0","0","0","0"
"lib\shared\responsive\responsive_table_shell.dart","0","0","0","0"
"lib\shared\services\api_client.dart","0","0","0","0"
"lib\shared\services\bin_locations_service.dart","0","0","0","0"
"lib\shared\services\dialog_service.dart","0","0","0","0"
"lib\shared\services\draft_storage_service.dart","0","0","0","0"
"lib\shared\services\env_service.dart","0","0","0","0"
"lib\shared\services\hive_adapters.dart","0","0","0","0"
"lib\shared\services\hive_service.dart","0","0","0","0"
"lib\shared\services\image_picker_service.dart","0","0","0","0"
"lib\shared\services\lookup_service.dart","0","0","0","0"
"lib\shared\services\recent_history_service.dart","0","0","0","0"
"lib\shared\services\storage_service.dart","0","0","0","0"
"lib\shared\services\sync\global_sync_manager.dart","2","4","0","6"
"lib\shared\services\sync\sync_service.dart","0","0","0","0"
"lib\shared\theme\app_text_styles.dart","0","10","0","10"
"lib\shared\theme\text_styles.dart","0","4","0","4"
"lib\shared\utils\app_date_formatter.dart","0","0","0","0"
"lib\shared\utils\async_action_handler.dart","0","0","0","0"
"lib\shared\utils\display_name_utils.dart","0","0","0","0"
"lib\shared\utils\error_handler.dart","0","0","0","0"
"lib\shared\utils\form_controllers_manager.dart","0","0","0","0"
"lib\shared\utils\form_layout_constants.dart","0","0","0","0"
"lib\shared\utils\gstin_prefill_utils.dart","0","0","0","0"
"lib\shared\utils\lookup_utils.dart","0","0","0","0"
"lib\shared\utils\report_utils.dart","0","0","0","0"
"lib\shared\utils\tax_engine.dart","0","0","0","0"
"lib\shared\utils\zerpai_toast.dart","4","11","0","15"
"lib\shared\widgets\dialogs\bulk_items_dialog.dart","51","0","0","51"
"lib\shared\widgets\dialogs\unsaved_changes_dialog.dart","0","0","0","0"
"lib\shared\widgets\dialogs\warehouse_change_confirm_dialog.dart","3","9","0","12"
"lib\shared\widgets\dialogs\zerpai_confirmation_dialog.dart","5","8","0","13"
"lib\shared\widgets\form_row.dart","1","10","0","11"
"lib\shared\widgets\hsn_sac_search_modal.dart","10","9","0","19"
"lib\shared\widgets\inputs\account_tree_dropdown.dart","13","20","0","33"
"lib\shared\widgets\inputs\category_dropdown.dart","20","18","0","38"
"lib\shared\widgets\inputs\custom_text_field.dart","9","24","0","33"
"lib\shared\widgets\inputs\dropdown_input.dart","21","43","0","64"
"lib\shared\widgets\inputs\field_label.dart","0","0","0","0"
"lib\shared\widgets\inputs\file_upload_button.dart","13","11","0","24"
"lib\shared\widgets\inputs\gstin_prefill_banner.dart","5","0","0","5"
"lib\shared\widgets\inputs\manage_categories_dialog.dart","16","26","0","42"
"lib\shared\widgets\inputs\manage_list_dialog.dart","2","14","6","22"
"lib\shared\widgets\inputs\manage_payment_terms_dialog.dart","7","34","0","41"
"lib\shared\widgets\inputs\manage_reorder_terms_dialog.dart","9","26","0","35"
"lib\shared\widgets\inputs\manage_simple_list_dialog.dart","2","18","7","27"
"lib\shared\widgets\inputs\phone_input_field.dart","6","1","0","7"
"lib\shared\widgets\inputs\radio_group.dart","0","1","0","1"
"lib\shared\widgets\inputs\radio_input.dart","0","0","0","0"
"lib\shared\widgets\inputs\resizable_box.dart","1","1","0","2"
"lib\shared\widgets\inputs\shared_field_layout.dart","0","5","0","5"
"lib\shared\widgets\inputs\text_input.dart","1","5","0","6"
"lib\shared\widgets\inputs\transaction_series_dropdown.dart","7","23","0","30"
"lib\shared\widgets\inputs\uppercase_text_formatter.dart","0","0","0","0"
"lib\shared\widgets\inputs\warehouse_popover.dart","51","0","0","51"
"lib\shared\widgets\inputs\z_date_picker_field.dart","4","0","0","4"
"lib\shared\widgets\inputs\z_search_field.dart","1","5","0","6"
"lib\shared\widgets\inputs\z_tooltip.dart","3","3","0","6"
"lib\shared\widgets\inputs\zerpai_builders.dart","2","5","0","7"
"lib\shared\widgets\inputs\zerpai_calendar.dart","2","3","0","5"
"lib\shared\widgets\inputs\zerpai_date_picker_style.dart","3","7","0","10"
"lib\shared\widgets\inputs\zerpai_date_picker.dart","2","0","0","2"
"lib\shared\widgets\inputs\zerpai_month_year_picker.dart","1","0","0","1"
"lib\shared\widgets\inputs\zerpai_radio_group.dart","0","3","0","3"
"lib\shared\widgets\keyboard_scrollable.dart","0","0","0","0"
"lib\shared\widgets\placeholder_screen.dart","0","7","0","7"
"lib\shared\widgets\reports\zerpai_report_shell.dart","8","18","0","26"
"lib\shared\widgets\sections\address_section.dart","0","15","0","15"
"lib\shared\widgets\sections\attachment_section.dart","0","2","0","2"
"lib\shared\widgets\sections\contact_persons_table.dart","0","24","0","24"
"lib\shared\widgets\sections\license_registration_section.dart","0","7","0","7"
"lib\shared\widgets\settings_fixed_header_layout.dart","1","7","0","8"
"lib\shared\widgets\settings_navigation_sidebar.dart","3","24","0","27"
"lib\shared\widgets\settings_search_field.dart","6","15","0","21"
"lib\shared\widgets\shortcut_handler.dart","0","0","0","0"
"lib\shared\widgets\skeleton.dart","6","30","0","36"
"lib\shared\widgets\texts\zerpai_link_text.dart","0","2","0","2"
"lib\shared\widgets\top_bar\top_bar.dart","1","1","0","2"
"lib\shared\widgets\unsaved_changes_guard.dart","0","0","0","0"
"lib\shared\widgets\z_button.dart","2","2","0","4"
"lib\shared\widgets\z_currency_display.dart","0","0","0","0"
"lib\shared\widgets\z_data_table_shell.dart","0","7","0","7"
"lib\shared\widgets\z_row_actions.dart","0","13","0","13"
"lib\shared\widgets\z_skeletons.dart","1","31","0","32"
"lib\shared\widgets\z_table_helpers.dart","4","7","0","11"
"lib\shared\widgets\zerpai_layout.dart","1","2","0","3"
"lib\utils\date_utils.dart","0","0","0","0"
"lib\utils\formatters.dart","0","0","0","0"
"lib\utils\price_utils.dart","0","0","0","0"
"lib\utils\validators.dart","0","0","0","0"
